央视,#genre#
陕西卫视,http://61.138.54.155:2233/hls/48/index.m3u8
江西卫视,http://61.138.54.155:2233/hls/49/index.m3u8
四川卫视,http://61.138.54.155:2233/hls/50/index.m3u8
甘肃卫视,http://61.138.54.155:2233/hls/51/index.m3u8
安徽卫视,http://61.138.54.155:2233/hls/52/index.m3u8
天津卫视,http://61.138.54.155:2233/hls/53/index.m3u8
河北卫视,http://61.138.54.155:2233/hls/54/index.m3u8
湖南卫视,http://61.138.54.155:2233/hls/56/index.m3u8
黑龙江卫视,http://61.138.54.155:2233/hls/58/index.m3u8
东方卫视,http://61.138.54.155:2233/hls/67/index.m3u8
广东卫视,http://61.138.54.155:2233/hls/68/index.m3u8
深圳卫视,http://61.138.54.155:2233/hls/69/index.m3u8
江苏卫视,http://61.138.54.155:2233/hls/70/index.m3u8
浙江卫视,http://61.138.54.155:2233/hls/71/index.m3u8
东南卫视,http://61.138.54.155:2233/hls/72/index.m3u8



安徽卫视,http://39.134.65.162/PLTV/88888888/224/3221225923/index.m3u8
北京卫视,http://39.134.65.162/PLTV/88888888/224/3221225927/index.m3u8
江苏卫视,http://39.134.65.162/PLTV/88888888/224/3221225929/index.m3u8
辽宁卫视,http://39.134.65.162/PLTV/88888888/224/3221225944/index.m3u8
青海卫视,http://39.134.65.162/PLTV/88888888/224/3221225948/index.m3u8
西藏卫视,http://39.134.65.162/PLTV/88888888/224/3221225951/index.m3u8
云南卫视,http://39.134.65.162/PLTV/88888888/224/3221225957/index.m3u8
东方卫视,http://39.134.65.162/PLTV/88888888/224/3221225960/index.m3u8
广东卫视,http://39.134.65.162/PLTV/88888888/224/3221225962/index.m3u8
浙江卫视,http://39.134.65.162/PLTV/88888888/224/3221225982/index.m3u8
陕西卫视,http://39.134.65.162/PLTV/88888888/224/3221225989/index.m3u8
河北卫视,http://39.134.65.162/PLTV/88888888/224/3221225991/index.m3u8
江西卫视,http://39.134.65.162/PLTV/88888888/224/3221225995/index.m3u8
深圳卫视,http://39.134.65.162/PLTV/88888888/224/3221225997/index.m3u8
新疆卫视,http://39.134.65.162/PLTV/88888888/224/3221225999/index.m3u8
湖南卫视,http://39.134.65.162/PLTV/88888888/224/3221226000/index.m3u8
重庆卫视,http://39.134.65.162/PLTV/88888888/224/3221226001/index.m3u8
天津卫视,http://39.134.65.162/PLTV/88888888/224/3221226003/index.m3u8
兵团卫视,http://39.134.65.162/PLTV/88888888/224/3221226005/index.m3u8
黑龙江卫视,http://39.134.65.162/PLTV/88888888/224/3221226006/index.m3u8
山西卫视,http://39.134.65.162/PLTV/88888888/224/3221226009/index.m3u8
吉林卫视,http://39.134.65.162/PLTV/88888888/224/3221226013/index.m3u8
四川卫视,http://39.134.65.162/PLTV/88888888/224/3221226014/index.m3u8
湖北卫视,http://39.134.65.162/PLTV/88888888/224/3221226015/index.m3u8
内蒙古卫视,http://39.134.65.162/PLTV/88888888/224/3221226017/index.m3u8
大湾区卫视,http://39.134.65.162/PLTV/88888888/224/3221226020/index.m3u8
河南卫视,http://39.134.65.162/PLTV/88888888/224/3221226023/index.m3u8
广西卫视,http://39.134.65.162/PLTV/88888888/224/3221226024/index.m3u8
海南卫视,http://39.134.65.162/PLTV/88888888/224/3221226026/index.m3u8
宁夏卫视,http://39.134.65.162/PLTV/88888888/224/3221226028/index.m3u8
